job_title,job_type,position_level,city,experience,skills,job_fields,salary,salary_min,salary_max,unit,avg_salary
chuyên viên khách hàng cá nhân khu vực gia lai,nhân viên chính thức,nhân viên,gia lai,1 - 3 năm,Unknown,"kế toán, ngân hàng, kiểm toán, tài chính, đầu tư",10 tr - 18 tr vnd,10.0,18.0,vnd,14.0
sales engineer ebraco international,nhân viên chính thức,nhân viên,hồ chí minh,2 - 5 năm,"service engineer, kỹ sư kinh doanh, kỹ sư bán hàng, sales engineer ebraco international","kinh doanh, bán hàng, cơ khí, ô tô, tự động hóa",13 tr - 15 tr vnd,13.0,15.0,vnd,14.0
trưởng phòng kinh doanh phần mềm website,nhân viên chính thức,"trưởng nhóm , giám sát",hà nội,2 - 5 năm,"trưởng phòng kinh doanh phần mềm website, nhân viên hỗ trợ kinh doanh, kỹ sư giải pháp phần mềm, salesman, chuyên viên công nghệ thông tin phần mềm, trưởng phòng kinh doanh, chuyên viên kiểm định phần mềm, website managment, head of sales, saler","tiếp thị, marketing, kinh doanh, cntt - phần mềm, bán hàng",15 tr - 50 tr vnd,15.0,50.0,vnd,32.5
chuyên viên digital marketing,nhân viên chính thức,"trưởng nhóm , giám sát",hà nội,3 - 5 năm,"chuyên viên social media, marketer, chuyên viên pr marketing, online marketing executive, marketing executive, nhân viên marketing online, marketing specialist, nhân viên marketing, chuyên viên marketing online, marketing operations officer","truyền thông, tiếp thị, marketing, quảng cáo, đối ngoại",15 tr - 20 tr vnd,15.0,20.0,vnd,17.5
thực tập sinh digital marketing,thực tập,"sinh viên, thực tập sinh",hồ chí minh,không yêu cầu,"online, social media","truyền thông, tiếp thị trực tuyến, quảng cáo, thực tập, đối ngoại, mới tốt nghiệp",2 tr - 4 tr vnd,2.0,4.0,vnd,3.0
technical sales engineer,nhân viên chính thức,nhân viên,hồ chí minh,3 - 4 năm,"kỹ sư kinh doanh, sales engineer","xây dựng, hóa học, tiếp thị, marketing",20 tr - 25 tr vnd,20.0,25.0,vnd,22.5
business development executive it marketing business,nhân viên chính thức,mới tốt nghiệp,hồ chí minh,không yêu cầu,"nhân viên phát triển kinh doanh, business development officer, business development specialist, sales executive, chuyên viên phát triển, sales & marketing admin, chuyên viên phát triển kinh doanh, business development staff","tiếp thị, marketing, kinh doanh, cntt - phần mềm, bán hàng",8 tr - 15 tr vnd,8.0,15.0,vnd,11.5
mechatronic electrical engineer – kỹ sư điện tự động hóa,nhân viên chính thức,nhân viên,hồ chí minh,trên 3 năm,"electrical engineer, kỹ sư điện, kỹ sư cơ điện công trình, m&e engineer, kỹ sư thiết kế hệ thống điện, kỹ sư m&e, kỹ sư giám sát điện","điện, điện tử, cơ khí, điện lạnh, ô tô, tự động hóa",12 tr - 30 tr vnd,12.0,30.0,vnd,21.0
chuyên viên khách hàng cá nhân phòng giao dịch trảng bom cn đồng nai,nhân viên chính thức,nhân viên,đồng nai,không yêu cầu,chuyên viên khách hàng cá nhân phòng giao dịch trảng bom cn. đồng nai cn.,"ngân hàng, kinh doanh, tài chính, bán hàng, đầu tư",9 tr - 35 tr vnd,9.0,35.0,vnd,22.0
chuyên viên phát triển phần mềm it,nhân viên chính thức,nhân viên,hà nội,1 - 3 năm,"business development officer, chuyên viên phát triển phần mềm it","cntt - phần mềm, ngân hàng","500 - 1,000 usd",12.5,25.0,usd,18.75
it service supervisor,nhân viên chính thức,"trưởng nhóm , giám sát",hà nội,trên 3 năm,"it manager, it director, it lead","mạng, cntt - phần mềm, cntt - phần cứng",trên 20 tr vnd,20.0,0.0,vnd,10.0
system engineer intern,thực tập,"sinh viên, thực tập sinh",hồ chí minh,không yêu cầu,Unknown,"mạng, cntt - phần cứng",2 tr - 3 tr vnd,2.0,3.0,vnd,2.5
đại diện kinh doanh sales representative đồng nai,nhân viên chính thức,nhân viên,đồng nai,1 - 3 năm,"đại diện thương mại, đại diện kinh doanh, salesman, nhân viên kinh doanh, đại diện kinh doanh sales representative kênh gt đồng nai, nhân viên bán hàng, đại diện bán hàng, saler","tiếp thị, kinh doanh, bán sỉ, marketing, bán hàng, bán lẻ",12 tr - 15 tr vnd,12.0,15.0,vnd,13.5
data analytics,nhân viên chính thức,nhân viên,hồ chí minh,trên 3 năm,"nhân viên kế toán nhà máy, chuyên viên kế toán chuyên quản, credit accountant, nhân viên kế toán vật tư, accountant and administrative staff, cán bộ tài chính kế toán, data analytics senior, accountant cum office admin, nhân viên phòng kế toán, accounting executive, kế toán kho vận","mạng, cntt - phần mềm, cntt - phần cứng",18 tr - 22 tr vnd,18.0,22.0,vnd,20.0
chuyên viên vận hành utility,nhân viên chính thức,nhân viên,đồng nai,2 - 5 năm,"kỹ sư bảo trì, kỹ sư môi trường, kỹ sư điện, long thành, xử lý nước thải, đồng nai, utility","sửa chữa, bảo trì","14 tr - 16,5 tr vnd",14.0,16.5,vnd,15.25
chuyên viên audit hcns,nhân viên chính thức,nhân viên,hồ chí minh,2 - 3 năm,Unknown,"kế toán, kiểm toán, nhân sự",10 tr - 12 tr vnd,10.0,12.0,vnd,11.0
back end developer,nhân viên chính thức,nhân viên,hồ chí minh,không yêu cầu,"php, .net, ios, javascript, back end, back end developer python, scala, developer, c, java, go, c++, frontend, nodejs, lập trình","mạng, cntt - phần mềm, cntt - phần cứng","750 - 1,200 usd",18.75,30.0,usd,24.375
chuyên viên hcns phụ trách qhlđ audit,nhân viên chính thức,nhân viên,hồ chí minh,2 - 3 năm,Unknown,"nhân sự, luật, pháp lý, qc), quản lý chất lượng (qa",11 tr - 13 tr vnd,11.0,13.0,vnd,12.0
maintenance engineer,nhân viên chính thức,nhân viên,đồng nai,trên 5 năm,"kỹ sư bảo trì, nhân viên bảo trì, maintenance man, chuyên viên bảo trì","bảo trì, điện, sửa chữa, dầu khí, điện tử, điện lạnh","lên đến 2,000 usd",0.0,50.0,usd,25.0
nhân viên tư vấn bán hàng quận hai bà trưng hà nội,nhân viên chính thức,nhân viên,hà nội,trên 1 năm,"sales, nhân viên kinh doanh tư vấn bán hàng, nhân viên tư vấn, nhân viên kinh doanh, nhân viên bán hàng","bán sỉ, kinh doanh, bán hàng, bán lẻ, tư vấn",8 tr - 12 tr vnd,8.0,12.0,vnd,10.0
